year,month,bx_gsm,by_gsm,bz_gsm,bt,intensity,declination,inclination,north,east,vertical,horizontal
2019,5,6.88,2.51,-8.65,8.51,55544,36.308,-75.771,176,-108,54190,183
2012,6,-1.5,-7.04,5.38,5.14,50701,143.82,-32.638,383,-203,62835,281
2019,10,-1.05,5.61,5.2,8.31,55481,-76.14,84.187,124,459,65858,181
2023,5,1.35,-2.85,-3.48,1.55,60624,-116.503,52.153,264,89,59255,271
2016,10,9.14,6.83,8.95,0.21,59965,-142.272,-27.726,-173,160,55367,344
2020,4,-5.11,-4.59,4.55,4.58,68991,164.205,85.889,-267,-319,61327,419
2023,5,4.24,8.55,9.99,1.19,54542,159.116,80.473,-329,-78,68617,232
2014,7,-5.91,9.85,9.13,4.65,65101,111.75,32.951,345,181,68930,479
2021,3,-9.97,-1.89,-3.32,2.32,61149,136.632,-29.311,-219,-457,69343,199
2016,12,-1.41,-8.25,-3.73,2.06,63289,-76.782,-30.596,-123,201,55810,450
2018,9,-9.63,3.98,1.33,5.58,55070,126.494,-10.751,-322,377,67829,252
2020,4,-8.54,-3.71,4.84,2.57,64001,-105.018,-51.571,-283,-177,56420,26
2012,12,-9.53,-7.37,-6.53,1.48,50671,46.912,-62.099,387,66,54542,313
2016,9,-8.65,3.3,0.79,9.37,54061,153.522,-51.549,20,-474,51029,220
2012,5,2.41,-6.83,-1.06,6.66,56750,-57.616,52.436,205,-278,56189,24
2018,11,5.87,-4.45,-0.24,9.14,61225,-16.612,-40.858,-77,-115,53615,82
2023,11,-5.2,-3.95,-5.37,1.35,54710,2.919,0.042,20,228,64410,133
2023,10,5.49,-6.38,-5.85,7.57,51698,-92.572,67.809,395,124,68621,276
2023,2,-6.38,-6.7,0.97,3.21,65121,-97.83,-28.543,-394,449,68680,205
2014,2,-1.05,1.28,8.05,5.53,51770,127.391,-72.531,-244,257,58617,278
2017,11,-2.14,-6.84,7.27,7.56,62761,142.534,-20.622,-116,439,60508,357
2023,8,-6.08,6.47,-8.33,0.81,65332,13.577,87.628,106,206,62452,437
2015,9,-3.28,-6.57,-6.14,3.34,58286,-42.049,27.378,-15,14,69300,251
2022,3,8.2,6.7,-0.07,1.87,66676,3.55,32.919,-476,126,52443,45
2023,1,-8.89,6.46,-5.98,5.01,68009,-38.905,-86.589,-324,179,54920,59
2018,10,-7.7,-5.38,9.55,1.87,64706,-167.716,16.586,-115,-405,69871,483
2013,6,-3.85,-1.05,-5.0,1.23,58206,107.015,-20.139,215,414,54617,191
2019,8,-4.02,2.52,0.75,7.99,52666,138.571,50.643,-160,44,65757,469
2019,10,-5.69,4.71,4.88,2.49,53683,54.977,5.509,471,176,64819,197
2021,3,2.27,0.77,-3.21,7.35,55830,28.018,89.861,-294,-229,63455,429
2023,7,-8.24,-3.91,6.24,8.08,64035,153.098,-62.262,101,-215,57481,171
2023,2,-5.77,-0.88,0.66,0.62,58562,-78.217,5.679,280,2,53285,226
2021,7,5.27,4.83,8.23,2.61,52539,-156.242,-37.493,200,-303,62609,488
2019,11,7.11,4.56,5.34,7.85,58088,-100.298,-85.437,357,443,56419,70
2012,2,8.34,3.87,2.75,5.81,59436,12.813,48.737,-233,-271,52166,210
2013,9,6.62,6.13,1.35,8.8,53999,-113.994,-47.418,0,291,63972,15
2015,1,2.63,1.2,-9.6,9.42,60471,81.796,30.41,-298,422,68099,421
2017,3,-4.58,7.36,-6.35,7.62,62001,-96.603,-48.796,-445,-260,60513,488
2022,5,-2.63,-6.22,-8.0,4.92,69887,-79.808,-1.041,415,428,59428,339
2021,1,-0.32,-5.78,3.33,7.47,56446,160.724,9.539,80,-97,66406,214
2013,12,8.67,1.31,7.6,9.59,63043,-72.471,-51.557,-139,-188,52520,83
2014,12,2.72,-2.12,-9.18,1.14,69019,128.091,-44.167,-259,203,62180,141
2012,11,2.92,-8.63,4.9,9.48,65835,-10.027,-6.77,-221,-261,53262,279
2019,6,-8.74,7.41,2.38,8.0,59246,-44.534,1.261,-211,156,63611,255
2014,1,5.91,-4.79,9.15,0.36,67166,-5.144,-5.702,459,172,67123,100
2016,6,-4.4,-4.99,-1.31,1.39,60227,127.431,30.266,13,116,59809,249
2013,7,-1.29,9.0,8.43,4.27,60233,107.795,19.96,-59,19,54766,205
2023,12,-4.97,0.36,2.39,9.5,61168,24.324,88.425,271,-464,55255,112
2013,10,8.63,-5.22,3.46,2.31,57002,-75.06,28.12,255,176,62967,294
2016,11,-2.53,4.85,-8.75,2.35,58288,-55.397,-36.495,-26,439,62556,0
2012,5,2.64,-5.13,-8.5,3.81,59756,-163.009,31.63,45,-173,52611,190
2013,2,1.56,-7.46,5.29,0.63,60367,105.321,14.999,-33,-25,65788,376
2022,8,-1.72,-4.38,-4.95,3.31,63682,116.541,-42.994,-243,-379,61501,363
2022,7,-6.16,-7.86,-9.42,5.13,57892,-88.446,-76.148,-387,409,51439,17
2023,12,-1.62,8.45,-4.72,2.83,67034,-37.183,-37.296,500,31,61514,88
2017,11,-7.56,2.72,7.02,6.16,53731,-26.838,-60.727,381,496,60356,237
2018,8,-7.25,-9.35,-7.25,5.51,65888,25.336,67.589,217,-465,57839,309
2013,11,-1.99,-6.8,-2.0,0.98,62734,3.314,9.673,292,225,53229,431
2015,1,-5.53,-9.69,-7.44,9.57,66831,-161.726,14.444,57,-238,62516,197
2021,9,-9.83,3.68,9.1,9.51,60544,88.937,-87.917,-360,-43,57625,117
2023,5,-5.03,4.16,6.04,9.1,66954,28.724,83.023,133,-249,59705,107
2020,10,5.47,6.75,5.42,0.92,50990,-5.746,44.68,-465,-252,62023,438
2013,12,9.56,-8.98,1.5,0.74,67793,30.618,-25.412,52,309,61805,62
2012,2,-7.85,-4.51,1.39,4.12,66010,81.007,50.0,121,386,63052,492
2015,10,6.99,2.5,-2.78,9.4,63600,-121.161,-53.91,345,-16,64262,359
2020,8,-9.0,-9.17,6.26,6.63,53986,136.447,38.518,-434,-233,52569,2
2017,1,-6.35,-3.15,-4.55,9.14,52927,5.215,64.329,-27,-4,69336,74
2020,2,-5.0,-8.19,6.15,7.29,69600,-155.678,-70.271,482,-483,62867,111
2014,12,8.06,7.42,2.97,8.7,60651,147.504,-9.598,-471,41,61277,476
2017,8,8.31,2.58,-0.34,7.17,50467,21.025,65.884,-500,66,62409,126
2014,9,-1.78,5.14,7.65,7.72,68852,155.286,-82.459,149,-441,66225,278
2013,4,-8.67,0.83,4.31,7.99,68988,59.068,69.557,500,-425,60428,385
2014,7,4.91,5.88,4.99,3.65,60961,30.494,29.332,-394,-378,51444,355
2021,3,-7.84,-5.77,-6.16,5.26,58111,-42.656,-73.07,434,-331,58643,453
2014,1,-9.77,-7.87,-0.24,1.86,60672,99.306,5.12,438,-238,63604,278
2013,12,7.83,7.52,3.33,3.13,64289,93.293,12.798,93,-358,54960,95
2023,6,-7.81,1.28,7.02,8.08,50426,8.891,-13.906,457,79,65935,61
2017,4,-6.72,3.52,9.93,6.42,66210,89.413,-22.94,-363,-105,57058,190
2012,10,1.4,4.15,9.77,3.98,55485,173.025,-24.052,-292,138,58824,227
2017,11,8.42,8.47,-9.01,8.74,60951,108.123,55.663,289,-59,56275,246
2022,11,6.63,1.82,-3.28,9.91,62045,-78.24,6.934,-351,84,55103,271
2018,9,2.07,-5.1,-4.13,7.35,66700,70.351,84.104,-81,-341,62984,125
2014,11,-10.0,-9.48,5.66,8.57,68513,-77.217,20.691,-311,336,54533,81
2015,4,2.58,6.3,9.31,5.54,64415,-47.196,-7.19,340,376,56438,495
2018,10,-6.99,-6.93,-5.34,6.6,53145,-33.702,-41.108,-454,452,53547,499
2022,2,0.23,1.64,-7.46,9.56,68982,149.519,-18.978,-195,-257,51417,88
2012,11,-2.06,-7.33,5.8,9.15,58898,105.024,0.576,409,489,67303,59
2018,4,-1.89,-2.93,-8.47,3.53,69482,-168.241,-72.932,11,-273,56379,466
2015,4,-9.56,-4.12,-1.52,8.02,58938,35.075,21.159,17,-273,59253,114
2013,3,-2.12,-4.52,-7.28,1.92,58394,136.323,74.095,-406,-190,60530,456
2020,4,5.52,-6.45,-6.08,6.25,54149,161.267,-89.417,388,-81,58498,414
2015,6,-1.79,-2.59,4.24,6.97,60281,147.81,-9.453,-149,-356,55576,203
2023,1,0.51,-2.13,1.32,8.41,58956,-43.127,4.481,-424,-381,60693,108
2023,7,-4.51,6.01,-4.4,8.34,57336,160.811,14.736,219,-278,52128,283
2015,12,-8.47,-4.75,8.83,1.81,62708,71.121,-88.695,472,373,53666,194
2023,11,7.12,-9.02,-9.37,3.75,62140,143.775,41.573,173,-289,53391,87
2013,3,-1.71,-4.05,-5.72,9.28,69778,-125.978,51.248,-117,-378,58456,480
2023,9,-8.98,-3.98,-8.17,8.67,69804,175.982,-9.552,298,-206,56178,449
2017,7,-2.19,0.94,-7.85,8.89,62678,15.468,-38.938,182,286,56739,335
2015,2,-5.52,-5.27,-9.34,8.83,55617,-152.654,-20.339,25,-174,53431,322
2019,5,2.01,-4.33,8.2,6.94,52193,30.99,35.324,447,-228,61137,208
2022,9,-7.45,5.76,-6.82,1.77,57929,52.167,41.48,283,-38,69584,48
2015,5,7.21,7.52,3.5,0.63,52454,-16.676,40.466,-27,-96,53391,40
2014,8,1.47,-4.88,-10.0,3.05,52887,-112.356,23.845,-63,-322,57941,50
2023,12,-8.5,-6.26,-5.56,8.97,63894,39.79,74.766,-268,286,67672,335
2018,11,-7.98,5.78,-8.81,1.41,64878,-68.139,66.043,348,-344,53591,251
2014,6,-2.9,9.59,-5.87,9.24,62762,101.169,27.02,192,-327,50747,33
2014,1,-8.35,-8.03,-7.08,3.73,64292,-1.002,-78.451,338,-266,61474,383
2012,3,3.47,-0.58,-1.63,2.57,65441,-45.869,48.537,-161,305,53176,46
2020,8,-2.67,-4.72,-7.37,7.45,64019,-8.864,-59.008,491,-466,53727,209
2018,9,5.92,-7.86,-7.77,3.2,55112,-44.733,-70.205,-488,158,67632,458
2015,10,-6.48,6.92,9.35,7.86,64790,60.679,7.162,-344,-136,61032,472
2016,10,-5.65,1.29,5.72,8.55,57316,-149.485,-34.674,-279,58,61563,144
2013,7,9.99,4.2,6.47,9.52,66633,64.392,21.928,-208,-275,66688,155
2022,5,8.55,2.51,-1.73,7.32,54302,-52.285,19.197,174,54,59890,64
2023,12,-4.93,1.44,9.5,7.83,67093,-76.462,-46.837,247,333,68485,4
2017,6,-2.08,5.98,-7.87,7.31,56747,149.906,-27.453,-273,-1,65629,500
2015,2,-0.2,-5.9,0.34,9.99,68900,133.665,5.792,182,-429,52050,267
2014,3,-2.2,-1.55,-5.62,5.13,63478,141.866,-13.009,193,-264,62392,492
2013,5,-5.97,3.81,0.2,3.95,67801,-99.097,-89.046,-56,213,60524,296
2012,3,8.87,5.34,-4.47,7.52,58582,82.614,56.343,108,-133,54317,421
2015,12,6.93,-8.8,-2.91,0.47,57977,-5.602,-11.626,-316,454,52394,151
2015,9,6.73,4.34,4.96,7.92,50331,-80.027,88.212,191,293,69630,367
2016,11,0.49,2.18,-6.31,7.68,66462,-152.82,-35.039,-89,-209,60640,363
2015,11,4.23,-2.16,1.48,3.06,65212,88.303,74.904,-161,-381,64173,70
2022,5,-7.87,-9.48,1.39,1.23,54430,-44.654,-29.156,-216,-286,63730,210
2019,7,1.3,0.63,-5.63,1.03,52234,-152.95,-82.65,78,302,68597,283
2021,8,-5.4,-1.45,-2.07,3.44,51981,-44.972,-84.502,-461,64,60964,286
2022,8,1.22,2.79,-7.36,3.37,58854,-142.602,-39.164,-293,319,53718,482
2018,11,1.1,-4.61,-4.62,8.75,60430,-20.82,-51.502,-329,84,61026,271
2022,1,-8.21,-3.12,-0.78,2.68,61390,169.268,-48.837,386,-397,62924,498
2020,4,6.99,4.71,4.74,2.97,66401,-20.787,-52.725,-75,-187,63487,500
2017,2,7.13,-3.17,9.94,2.4,58586,106.388,25.201,119,185,69163,416
2017,3,8.35,4.54,-1.06,7.53,50705,-103.088,-80.065,445,469,58630,218
2014,5,-2.36,4.32,-4.98,1.34,51976,116.838,-72.462,-123,424,51717,264
2023,2,-6.54,-9.53,-7.06,9.02,60600,92.948,41.235,331,22,52977,28
2015,4,-4.98,-6.4,8.83,0.44,51831,130.663,-68.408,130,145,62303,179
2023,2,9.61,-3.19,3.23,6.22,50472,134.339,-42.558,122,-277,58653,302
2016,8,-4.8,6.71,1.7,5.28,50346,27.955,71.175,408,-323,59453,51
2013,7,7.58,-5.94,7.58,6.08,63854,99.718,-24.552,-22,303,69565,35
2019,4,4.29,2.11,-1.63,9.39,61611,171.633,13.498,-140,292,63508,493
2015,6,-6.09,7.45,-5.66,9.78,54612,45.488,-61.331,-496,378,56176,398
2014,12,-6.45,4.69,6.04,3.21,62767,-169.101,-15.315,105,187,59775,191
2023,5,1.74,-4.66,0.43,9.96,52059,-2.508,48.667,-15,292,65049,30
2018,7,-7.13,6.57,2.85,4.97,52355,-101.423,-86.616,241,55,69562,292
2021,11,1.53,6.73,3.2,8.11,59999,-134.946,0.822,201,439,67766,483
2016,3,-8.77,7.51,-3.86,2.78,67711,172.698,16.389,402,67,58167,282
2023,10,-2.77,0.73,4.95,3.06,65700,-163.803,-49.237,44,-66,61880,359
2014,2,6.85,5.7,8.5,8.09,58492,90.534,66.645,-242,460,51138,179
2014,4,3.66,1.81,-8.17,5.22,55667,-67.808,-40.565,21,-164,69811,483
2017,11,-6.98,1.87,-2.93,4.29,54746,1.668,79.186,453,-50,66155,497
2020,11,-9.4,-6.34,8.66,9.51,66045,-83.396,77.656,278,-28,63084,172
2014,7,-6.3,-2.0,3.09,8.95,66721,104.159,87.808,-67,-305,57098,303
2013,3,0.44,9.32,-1.55,1.3,58246,-62.866,82.394,174,489,67851,170
2022,1,-8.5,-7.61,-1.3,9.87,56260,155.914,75.028,406,395,59292,141
2015,3,-8.49,7.54,0.45,8.62,50633,-118.956,8.822,-321,-193,56290,187
2021,6,-8.31,-3.14,-9.46,6.01,55243,-88.853,-61.596,21,-47,61972,290
2017,12,-4.24,3.64,-0.02,3.51,62383,-175.378,-41.974,-135,-335,67690,82
2019,5,6.24,7.54,8.6,9.14,63857,-43.179,72.945,-394,302,53311,123
2019,2,6.97,-3.64,-0.32,8.97,67034,-119.886,-32.097,97,-43,52564,214
2015,3,-4.98,3.03,5.14,9.95,68465,-124.682,43.557,177,-438,59709,89
2014,6,0.8,-7.13,4.23,8.34,52251,127.42,50.414,81,-322,60793,470
2012,6,-7.28,-1.85,-6.9,4.96,65817,-29.55,11.287,38,158,64559,95
2023,10,6.91,-9.02,-4.79,6.13,63848,-132.112,-5.576,64,-183,65353,392
2022,2,-7.77,5.98,5.91,5.91,60140,35.876,76.802,-384,133,59032,434
2021,2,-5.79,0.43,2.1,7.14,51201,-95.687,-14.907,344,126,65757,194
2015,12,3.55,0.05,1.97,1.91,56026,-62.544,80.754,-456,-455,62177,74
2015,1,4.24,-8.74,8.09,1.34,55120,157.261,-89.411,381,-407,58474,175
2023,1,3.21,-2.44,9.72,1.89,68628,68.35,-47.73,-103,358,54046,278
2019,12,8.77,1.17,8.53,8.37,64956,153.992,-29.384,295,-127,54006,316
2018,11,6.51,-9.59,5.38,1.77,61658,-162.344,34.363,-177,-121,51337,140
2023,8,7.11,-6.5,-4.99,0.43,67005,-98.364,36.443,121,-101,58210,407
2018,8,-2.4,-8.48,-8.17,3.0,55729,-55.086,-30.289,-440,387,60773,498
2023,2,2.65,-6.7,-4.6,7.39,60254,-88.08,-76.702,-366,399,51273,463
2015,3,0.33,-0.19,0.93,9.59,50702,9.917,-61.171,-15,-356,51171,256
2019,9,-1.91,9.53,9.56,3.77,58981,-88.166,88.827,-485,-261,59993,282
2021,7,8.4,-5.76,-3.03,9.42,50669,5.638,-33.023,360,-454,54400,109
2020,7,1.2,-3.46,7.86,7.25,54749,-176.722,-72.977,92,-194,65616,429
2014,6,4.0,8.68,8.16,0.06,64900,8.124,71.771,-497,277,66687,145
2014,7,-6.02,6.1,-2.11,6.8,63833,78.32,15.456,0,246,58107,435
2021,4,-2.0,-3.28,6.91,4.16,58645,49.67,-24.201,-241,-204,67305,97
2023,5,-4.54,-0.54,-0.07,0.83,62368,-72.654,86.461,-330,148,66020,465
2016,10,-7.65,0.87,-6.33,3.74,56961,-177.004,-50.347,-451,269,61019,133
2015,5,7.32,1.9,4.78,0.25,51884,141.439,-65.104,481,153,51243,231
2023,10,9.01,2.44,-6.11,6.62,50137,55.303,-50.058,-429,-127,56795,452
2015,10,-0.29,-9.6,0.01,4.1,63409,-101.567,-29.733,-59,-307,52455,65
2013,4,5.28,-8.2,9.24,4.12,55114,-0.462,-77.485,-8,305,55739,220
2012,2,4.39,-0.29,-0.34,2.67,68369,-123.616,-41.662,-1,-198,66226,392
2013,3,-2.36,-4.24,7.27,3.5,53694,129.384,39.076,-210,97,67004,107
2012,5,-8.95,-0.7,-1.29,9.46,51710,53.98,82.715,145,-466,59249,417
2015,7,8.53,-4.57,-8.75,2.15,68264,114.514,73.027,-164,255,61034,165
2019,2,0.76,4.25,-3.88,8.53,61799,-76.962,-17.336,432,219,69321,290
2023,5,6.93,8.68,5.41,7.1,53885,1.772,31.172,-365,-253,67471,12
2018,5,5.37,-3.68,-9.46,9.82,67627,-106.718,-83.156,-496,21,54086,6
2020,10,-7.53,-9.05,-2.57,2.76,55577,137.368,-85.153,-91,448,62555,116
2012,3,4.66,5.89,-1.9,7.95,59096,30.761,52.984,283,-39,50018,315
2017,8,-6.21,-8.69,-4.45,1.19,65461,20.146,76.462,185,-172,51661,0
2014,8,1.53,7.82,-9.2,6.67,54028,-98.754,-78.932,-291,-84,63122,257
2019,8,-1.87,1.44,-5.66,1.12,57074,-54.952,-88.858,463,392,50142,447
2023,11,3.94,-6.41,-6.72,5.48,60785,84.74,55.298,-171,-382,58934,106
2018,4,4.89,4.62,7.84,3.97,51290,-124.272,-75.386,85,-207,60178,375
2014,2,-5.97,-5.78,-6.49,7.59,62600,-48.608,-85.035,-399,361,63828,104
2014,3,-8.07,-2.31,-9.72,7.97,57250,77.183,38.682,-460,-254,69392,11
2012,8,9.74,-1.41,-0.2,7.57,52645,106.393,-71.042,405,-453,67471,132
2015,1,-2.16,-7.39,6.14,1.44,68078,32.26,-57.273,355,61,69082,85
2017,10,9.36,-1.51,6.23,1.86,69375,35.853,60.739,-348,-247,52097,11
2018,12,-4.73,9.3,-7.89,7.71,66299,-95.437,-80.935,90,-287,63380,494
2019,12,1.07,2.6,-0.42,6.5,51975,-11.249,-65.766,4,317,56658,111
2018,1,-5.15,9.05,-9.15,4.54,61567,80.094,-49.629,249,-405,56308,276
2018,11,2.88,-7.07,4.43,6.07,60968,161.322,-31.778,35,148,60925,345
2020,5,6.94,5.35,2.86,1.33,53513,0.779,-7.341,-54,-68,59020,380
2016,5,4.97,-0.57,1.86,9.56,51260,-111.984,3.305,40,291,68680,294
2023,6,3.11,-0.87,7.97,8.05,55462,-56.762,-88.391,68,33,67502,46
2014,2,2.59,7.02,-6.03,2.45,55495,-14.48,43.473,-101,79,64990,366
2012,12,7.96,9.37,7.26,5.76,61032,-23.171,-24.213,7,251,68272,478
2015,4,8.28,-3.33,-3.51,9.85,67409,-117.324,72.278,254,163,65678,55
2015,7,9.87,5.41,9.98,1.36,61085,-23.258,88.062,223,-42,64404,387
2014,5,-6.93,-0.96,-6.93,4.04,63106,-145.203,44.281,384,-119,69847,349
2013,5,2.1,2.04,9.15,1.9,66775,-142.018,68.347,210,-433,62085,73
2014,12,-5.25,-7.02,-6.66,8.35,58463,-47.131,-25.807,-414,421,59302,103
2014,12,9.62,-0.87,4.95,4.17,58105,172.505,12.785,-270,360,66646,255
2018,5,1.78,5.8,-9.94,9.12,64598,-74.013,19.942,81,140,56490,367
2021,2,-7.72,5.87,6.71,3.09,55088,69.094,-52.209,-342,-47,61696,29
2022,12,-4.11,0.26,8.24,6.21,58192,-61.178,28.662,189,362,56439,281
2018,1,5.87,4.3,7.64,0.64,63864,165.405,77.713,185,311,59838,235
2015,11,0.24,-5.99,-9.36,6.3,62746,-30.709,40.394,242,-387,52412,116
2016,3,-8.7,-0.21,8.07,1.64,66365,-66.825,-72.548,331,332,62872,234
2013,11,0.11,0.14,-3.16,9.53,62146,46.827,39.097,233,426,58689,266
2016,9,-8.03,4.57,-3.02,9.23,52996,-64.185,-18.986,475,-23,63762,397
2022,4,4.33,-9.57,-0.68,6.36,65612,47.063,-18.352,148,209,58271,362
2019,6,-7.53,9.43,-2.89,3.28,67252,17.8,-63.665,-451,28,58932,256
2017,6,3.88,1.11,6.95,6.08,57818,53.885,-76.395,-88,-67,60818,476
2014,1,-5.32,-1.92,2.99,8.3,52186,60.828,-6.204,421,134,56448,243
2020,4,-7.29,0.1,4.83,9.83,55182,13.114,-55.53,-68,7,64527,387
2013,12,6.1,-4.69,-3.32,7.41,68892,-25.951,32.768,376,-38,62459,142
2015,7,-8.37,-2.87,-9.11,0.13,65975,132.48,-38.849,198,205,68060,462
2014,8,8.31,-8.04,7.52,5.36,51793,-54.135,-36.999,-279,-350,52653,20
2015,6,-1.49,1.86,-0.34,5.88,58292,11.742,-26.099,-276,275,53199,247
2020,6,-2.34,0.07,7.2,5.28,56138,167.913,28.795,388,-163,68602,32
2021,12,6.59,-9.73,4.81,7.04,50443,171.676,-36.28,385,184,60073,222
2020,9,-6.43,-1.28,9.52,7.17,52720,139.892,-29.066,-5,482,51200,371
2015,8,-4.59,-7.44,-7.1,3.93,56719,-118.471,61.333,-212,-241,54197,254
2020,11,-1.7,-5.54,3.28,4.8,58426,12.852,80.287,-279,-176,53549,426
2023,3,-5.21,3.05,5.42,9.76,54242,-103.601,35.831,-270,-160,56500,2
2021,9,3.88,2.29,-0.67,7.02,55680,167.495,-72.853,-417,-243,58892,44
2017,9,1.05,7.39,-6.52,1.61,57590,17.037,-62.495,185,161,65107,470
2016,7,-9.89,-4.19,-8.02,3.83,68447,-100.313,10.501,-446,332,51255,308
2012,10,3.88,5.04,3.21,1.05,60263,64.883,41.816,-43,-446,52060,485
2015,11,-9.88,0.29,-9.63,1.67,60345,-58.117,-82.234,-447,-387,52168,100
2021,12,-7.02,-1.06,4.42,6.4,61504,35.348,59.128,-123,-464,61498,328
2019,2,9.12,2.7,-3.69,4.34,59176,4.024,-23.708,-117,84,68151,158
2022,2,-7.89,6.4,-6.02,6.43,61249,65.907,37.655,307,-347,68353,451
2014,11,6.3,1.35,9.66,5.54,69749,-141.438,75.129,245,82,63766,201
2019,2,-4.55,-9.49,-3.72,2.51,54442,49.742,-18.463,263,206,59991,315
2022,9,-0.82,5.57,0.74,3.67,53439,148.369,-5.193,222,-250,57734,195
2013,12,3.62,-4.82,-8.92,4.94,63015,17.156,-81.894,332,-199,58835,455
2023,10,6.84,-1.34,-2.66,7.75,54271,123.424,58.1,351,214,58390,406
2016,8,-6.5,5.87,-7.41,0.21,52372,-1.132,-39.055,-353,202,60329,83
2015,11,-1.65,-1.26,4.57,1.66,57278,102.864,54.124,162,-440,51799,259
2022,8,1.98,-4.28,5.43,2.45,62211,-36.987,-40.011,373,123,64149,15
2013,9,2.47,3.88,8.6,9.67,52365,-38.436,-12.376,78,-34,55593,91
2017,2,-5.17,-2.45,-5.95,3.3,67122,-80.916,-83.211,187,314,59760,327
2020,10,-6.34,2.9,2.56,1.7,54956,-115.526,60.76,-186,219,66316,117
2015,8,9.77,0.56,7.78,5.37,52084,12.348,59.7,-468,477,64395,160
2020,3,-7.85,-0.51,-5.69,9.55,54740,-90.338,-56.942,360,107,66820,159
2018,1,-9.61,0.54,4.88,3.76,65963,-106.176,43.286,-473,433,59822,324
2016,11,0.23,-1.39,-0.0,5.09,53143,165.301,-46.342,45,-119,61967,176
2015,7,1.44,-6.24,0.54,1.83,57224,15.473,51.025,-484,321,66099,1
2015,6,-9.32,-3.29,9.91,4.75,55519,-147.137,32.515,309,-313,52330,158
2022,7,2.61,0.2,7.21,6.3,67102,32.683,73.259,312,139,53468,391
2015,4,6.54,7.69,-7.68,0.38,57964,-59.117,-78.992,249,461,56674,477
2015,2,2.39,7.85,-7.89,7.4,64779,-7.387,47.844,208,18,54211,119
2012,2,6.1,2.53,-3.41,2.9,64168,147.461,78.423,-157,215,52910,87
2017,7,8.01,-7.62,-2.99,7.78,60215,-25.83,34.518,-67,439,52280,473
2012,10,-4.84,3.69,-4.83,6.32,68507,-41.69,80.966,-458,312,55352,343
2020,5,2.62,-6.45,0.23,9.67,68377,148.693,85.276,447,207,69598,120
2015,8,-9.44,-1.57,-1.16,1.09,65855,-104.788,79.345,427,390,60902,276
2013,8,5.82,-1.5,-5.0,4.89,59445,119.382,84.073,127,-455,53987,491
2017,8,7.07,-4.36,-5.71,2.61,54062,-127.519,-87.624,62,-396,63196,164
2015,1,-5.36,-1.5,0.88,8.03,55877,-137.38,61.778,330,425,52795,439
2012,3,1.68,6.51,-6.5,9.6,67058,8.63,27.927,171,-81,68780,290
2020,11,-9.58,2.43,1.11,4.46,65272,-38.06,19.411,494,470,58894,247
2018,11,2.82,-0.27,3.69,6.97,68067,-78.388,86.988,-201,-6,58262,421
2012,1,2.09,-0.12,-5.08,9.31,59093,128.135,4.689,318,428,66490,31
2021,12,-3.37,-1.98,0.02,0.87,64205,20.287,-69.801,-464,-477,56169,451
2013,2,-5.0,3.34,2.26,3.36,52116,-175.148,-27.385,49,184,66735,240
2017,8,-8.74,-9.43,-0.65,8.88,62511,-71.175,-59.738,465,-94,54669,1
2014,11,-2.85,-4.64,-8.26,4.76,59623,-3.554,45.081,469,-29,63047,103
2023,2,-7.31,8.47,5.41,4.87,69223,151.457,-17.551,-210,-216,53484,386
2016,11,-6.65,4.11,2.71,7.04,51549,-80.32,82.175,173,254,50554,447
2021,6,3.81,1.8,0.93,8.7,59464,-87.918,39.123,-2,397,65432,253
2021,12,2.98,2.1,7.86,9.31,61816,-13.823,62.932,403,-253,56345,93
2013,6,-5.98,6.28,1.49,1.82,63178,176.143,51.426,-111,297,52876,312
2023,10,0.14,5.44,-9.35,7.94,55066,98.548,55.504,-221,-105,68204,166
2018,11,1.62,5.8,-3.26,2.96,57371,-101.071,50.109,381,-153,63990,285
2018,9,4.89,-9.58,5.28,1.05,61123,-177.786,-34.932,-257,-51,59295,403
2017,2,-4.35,-0.64,0.08,2.42,68454,-129.848,72.468,498,-464,63498,395
2023,6,-6.11,-3.15,6.15,8.65,68330,-123.584,-82.46,397,186,62944,437
2022,3,0.4,-8.24,-8.94,9.81,57049,134.603,-66.24,383,412,58758,298
2023,12,-7.52,4.24,-4.66,0.99,64003,70.944,-37.573,-229,-298,57864,396
2023,9,-9.18,-3.19,-0.55,8.0,51374,59.927,-24.838,494,397,63925,170
2018,7,0.97,-6.01,7.5,3.21,55516,117.609,62.435,-283,422,54488,433
2019,5,-6.15,4.02,4.85,7.29,67828,45.725,27.483,-225,170,61273,140
2015,1,-8.39,-8.93,-2.35,9.6,52394,-99.978,39.244,235,337,62210,70
2021,9,-4.72,1.32,4.35,4.74,50934,-120.503,-31.884,-7,37,55360,421
2015,6,-4.68,1.52,-3.58,3.64,60134,-7.534,32.245,327,200,61552,285
2022,6,-8.34,-7.5,-1.13,3.9,51371,-29.096,3.818,290,-331,60475,25
2014,11,-9.32,1.34,8.78,5.91,69034,127.96,-50.86,184,104,68225,327
2012,12,-2.92,-7.96,4.59,8.53,69701,-22.906,-79.548,456,-199,61824,66
2013,1,1.4,-2.59,1.95,6.86,69299,-115.197,56.873,341,-439,57828,99
2013,9,6.08,8.0,-5.33,2.34,57717,-68.146,29.465,-478,-299,67822,487
2014,9,2.43,-2.21,-4.15,6.5,68245,68.6,-12.495,-301,274,63808,445
2012,3,-5.45,-6.1,-2.7,6.35,54997,-11.378,43.152,-170,363,68948,339
